accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,predicted_positive_rate,threshold,feature_set,feature_set_label,feature_set_role,model,use_class_balancing,used_optuna_params,fn_count,fp_count,tn_count,tp_count
0.5647058823529412,0.28936664729808254,0.8736842105263158,0.4914760914760915,0.9425837320574163,0.43474465298996073,0.6223444138965258,0.7677663493452968,0.4222155990980138,0.1927067703870216,1182,1223,72,498,0.5784873949579832,0.35,clinical_core_extreme,Set B - Clinical Core + Extreme,primary,XGBoost,True,True,72,1223,1182,498
0.6786554621848739,0.34049586776859503,0.7228070175438597,0.6681912681912682,0.9104815864022663,0.46292134831460674,0.5902578796561605,0.7677663493452968,0.4222155990980138,0.1927067703870216,1607,798,158,412,0.40672268907563025,0.5,clinical_core_extreme,Set B - Clinical Core + Extreme,primary,XGBoost,True,True,158,798,1607,412
0.7421848739495799,0.381468110709988,0.5561403508771929,0.7862785862785863,0.8819962686567164,0.45253390435403285,0.509482481517197,0.7677663493452968,0.4222155990980138,0.1927067703870216,1891,514,253,317,0.27932773109243697,0.6,clinical_core_extreme,Set B - Clinical Core + Extreme,primary,XGBoost,True,True,253,514,1891,317
