feature_set,feature_set_label,feature_set_role,model,folds,mean_n_features,min_n_features,max_n_features,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_npv,std_npv,mean_f1,std_f1,mean_f2,std_f2,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_brier_score,std_brier_score,total_tn,total_fp,total_fn,total_tp,conceptual_n_features
full_transcript_comparator,Set D - Full Transcript Comparator,sensitivity,Random Forest,5,37.0,37,37,0.8109778768130826,0.005814078384857663,0.5242180778397071,0.04871553276657452,0.16177330117747196,0.014029044926314245,0.9647166759523367,0.007507917396589561,0.8293527246760387,0.00229825218896102,0.24668715611826725,0.017051670983470536,0.18757507625981096,0.015092910571771109,0.7678129076308116,0.007368492672854728,0.4251713288991018,0.014026795798235715,0.13370931536364608,0.0014230670182080515,5414,198,1114,215,full transcript
clinical_core_extreme_weight,Set C - Core + Weight,candidate,Random Forest,5,10.0,10,10,0.8082400209136008,0.0044100491378399,0.49921274372371605,0.024014451205119056,0.23327280465314226,0.015105513950432319,0.9444043917251188,0.006164884119141213,0.8387483422743169,0.0025709291331799766,0.3176346775043605,0.015362862729437559,0.26097325928934884,0.015345734834003297,0.7600975988153398,0.012605051349707871,0.42376944754605184,0.017110083630398096,0.13609242812996453,0.0029792974403590987,5300,312,1019,310,10
full_transcript_comparator,Set D - Full Transcript Comparator,sensitivity,Logistic Regression,5,37.0,37,37,0.6941345441644208,0.013560281125217098,0.35381062238462097,0.014057694360395943,0.7216115761100865,0.025286910875890176,0.6876303763632872,0.014910646884952632,0.9125123118939698,0.0077650821597804055,0.47473451969158215,0.016789522588975966,0.5973013459593733,0.020063519720633978,0.773776041263999,0.017891898621660633,0.41984063738765115,0.03567299942859659,0.19657757991384656,0.006363474084498684,3859,1753,370,959,full transcript
clinical_core_extreme,Set B - Clinical Core + Extreme,primary,Logistic Regression,5,8.0,8,8,0.6902452991080599,0.009612964342751737,0.34856797600646805,0.009959499302904205,0.7103220314938289,0.014722026603041316,0.6854919738477435,0.009629162807114346,0.9090071513112651,0.0050430984072844754,0.46762930484848786,0.01174544530595426,0.5881984897504561,0.01316046706119626,0.7742406094242418,0.015035905824238817,0.4174782311499893,0.03494816384230096,0.19709164041529803,0.00599948198649287,3847,1765,385,944,8
clinical_core_extreme_weight,Set C - Core + Weight,candidate,Logistic Regression,5,10.0,10,10,0.6893809532701362,0.009986017353457707,0.3477923744025559,0.010563812651034397,0.7103220314938289,0.017364807215223328,0.6844229313193747,0.009837828127684795,0.9088819126738403,0.005723474165336681,0.4669288881803338,0.012811364090290005,0.5877536113113804,0.014903270026709983,0.7735022284548692,0.015583473445786424,0.4163989209836906,0.036651039149801314,0.19735481541344538,0.006059004696043673,3841,1771,385,944,10
clinical_core_extreme,Set B - Clinical Core + Extreme,primary,Random Forest,5,8.0,8,8,0.8068002398424842,0.006306814347423534,0.4914816888211286,0.028213502849653564,0.266392396084551,0.022589858120970623,0.9347815804051727,0.004579383113325198,0.8432851857486622,0.0044590347219440555,0.34535023613441795,0.025019613250069284,0.2931904080088844,0.023569747788958935,0.7571989729080834,0.01729660309049174,0.41532545021777556,0.025161957239135113,0.13757198452047262,0.004530684092998243,5246,366,975,354,8
clinical_core,Set A - Clinical Core,primary,Logistic Regression,5,5.0,5,5,0.6864980715087461,0.014038057242572176,0.3455118423542765,0.015942568615571147,0.7118229536104412,0.026267229061224084,0.6805019976095352,0.011368686428242417,0.9088053491723649,0.00894975152799495,0.4652035674118113,0.020014499763171843,0.5872805282234264,0.023452332524613338,0.7682609473089164,0.01800865904512264,0.40446020582818304,0.03439113312667538,0.1997162387805284,0.005953195351062292,3819,1793,383,946,5
clinical_core,Set A - Clinical Core,primary,Random Forest,5,5.0,5,5,0.7925361475404735,0.012652493923508269,0.435964720799998,0.04415728000557954,0.2716697403887076,0.032070425118106816,0.9158910354395138,0.01579514047285219,0.8415408713592735,0.00594343196945329,0.33365081946907327,0.03126222814865969,0.29334551906892276,0.03164060591067608,0.7497395696355265,0.01608958152875987,0.38519070446690973,0.03312785267632012,0.1424746249864306,0.005288347635749265,5140,472,968,361,5
