feature_set,feature_set_label,feature_set_role,anchor_models,anchors,mean_n_features,min_n_features,max_n_features,conceptual_n_features,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_npv,std_npv,mean_f1,std_f1,mean_f2,std_f2,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_brier_score,std_brier_score
full_transcript_comparator,Set D - Full Transcript Comparator,sensitivity,"Logistic Regression, Random Forest",2,37.0,37,37,full transcript,0.7525562104887518,0.00968717975503738,0.43901435011216405,0.03138661356348523,0.4416924386437793,0.01965797790110221,0.8261735261578119,0.011209282140771097,0.8709325182850043,0.005031667174370712,0.3607108379049247,0.01692059678622325,0.39243821110959215,0.017578215146202544,0.7707944744474053,0.01263019564725768,0.4225059831433765,0.024849897613416154,0.16514344763874633,0.003893270551353368
clinical_core_extreme_weight,Set C - Core + Weight,candidate,"Logistic Regression, Random Forest",2,10.0,10,10,10,0.7488104870918685,0.007198033245648804,0.42350255906313594,0.017289131928076726,0.4717974180734856,0.016235160582827823,0.8144136615222468,0.008001356123413003,0.8738151274740786,0.004147201649258329,0.39228178284234716,0.014087113409863782,0.4243634353003646,0.01512450243035664,0.7667999136351045,0.014094262397747147,0.4200841842648712,0.026880561390099707,0.16672362177170497,0.004519151068201386
clinical_core_extreme,Set B - Clinical Core + Extreme,primary,"Logistic Regression, Random Forest",2,8.0,8,8,8,0.7485227694752721,0.007959889345087635,0.4200248324137983,0.019086501076278885,0.48835721378918995,0.01865594236200597,0.810136777126458,0.007104272960219772,0.8761461685299636,0.004751066564614265,0.4064897704914529,0.01838252927801177,0.44069444887967024,0.018365107425077597,0.7657197911661626,0.01616625445736528,0.4164018406838824,0.030055060540718038,0.1673318124678853,0.005265083039745556
clinical_core,Set A - Clinical Core,primary,"Logistic Regression, Random Forest",2,5.0,5,5,5,0.7395171095246098,0.013345275583040222,0.39073828157713725,0.030049924310575342,0.4917463469995744,0.02916882708966545,0.7981965165245245,0.013581913450547304,0.8751731102658191,0.00744659174872412,0.3994271934404423,0.025638363955915768,0.44031302364617453,0.02754646921764471,0.7590002584722214,0.017049120286941256,0.3948254551475464,0.033759492901497754,0.1710954318834795,0.005620771493405778
