condition,feature_set,feature_set_label,feature_set_role,model,folds,mean_n_features,min_n_features,max_n_features,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_npv,std_npv,mean_f1,std_f1,mean_f2,std_f2,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_brier_score,std_brier_score,total_tn,total_fp,total_fn,total_tp,conceptual_n_features
baseline,clinical_core_extreme,Set B - Clinical Core + Extreme,primary,XGBoost,5,8.0,8,8,0.6797270858100805,0.01399470937139595,0.34085080982314625,0.014656247435897128,0.719364448857994,0.02727434521712241,0.6703445856607032,0.013519139469450232,0.9097788722121836,0.008995255146765817,0.4624908745378365,0.018388601141305184,0.5885658590035177,0.022341610817563695,0.7740320373506782,0.014986710660754432,0.4393402801246415,0.031244000267884806,0.18965040155471952,0.00502282244440982,3762,1850,373,956,8
tuned,clinical_core_extreme,Set B - Clinical Core + Extreme,primary,XGBoost,5,8.0,8,8,0.6820321463620086,0.011559078125951625,0.3444016085482815,0.01019386326710384,0.7298907646474677,0.01697070535968701,0.6707018855465767,0.01429857864382298,0.9129316275548032,0.005227115710018083,0.4679036747319397,0.011020587458626812,0.5962794091542482,0.01249513552440666,0.7751104466600879,0.013291565929104798,0.4423368434109801,0.02579014538147909,0.1920365361786922,0.004982433110156645,3764,1848,359,970,8
